category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
business-economics	College/University	Navigating Our Global Future	Ian Goldin	07:07
business-economics	College/University	How algorithms shape our world	Kevin Slavin	15:24
business-economics	College/University	The real origin of the franchise	Sir Harold Evans	05:49
business-economics	College/University	How containerization shaped the modern world	Sir Harold Evans	04:47
business-economics	Other	It's not you. Claw machines are rigged.	03:51
design-engineering-technology	Elementary/Primary	This Video Will Make You Angry	07:26
design-engineering-technology	Elementary/Primary	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
design-engineering-technology	Elementary/Primary	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
design-engineering-technology	Elementary/Primary	5 of the Worst Computer Viruses Ever	09:37
design-engineering-technology	Elementary/Primary	Carl Sagan on the Existence of Extraterrestrials	06:25
design-engineering-technology	Elementary/Primary	How to fly around the world without fuel	04:13
design-engineering-technology	Elementary/Primary	It's not you. Claw machines are rigged.	03:51
design-engineering-technology	Elementary/Primary	The World's Roundest Object (and Why it Exists)	11:44
design-engineering-technology	Elementary/Primary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
design-engineering-technology	Elementary/Primary	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
design-engineering-technology	Elementary/Primary	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
design-engineering-technology	Elementary/Primary	The physics of playing guitar	Oscar Fernando Perez	04:55
design-engineering-technology	Elementary/Primary	The benefits of good posture	Murat Dalkilinç	04:27
design-engineering-technology	Elementary/Primary	The complex geometry of Islamic design	Eric Broug	05:07
design-engineering-technology	Elementary/Primary	How does your smartphone know your location?	Wilton L. Virgo	05:03
design-engineering-technology	Elementary/Primary	Under the hood: The chemistry of cars	Cynthia Chubbuck	04:34
design-engineering-technology	Elementary/Primary	Why aren't we only using solar power?	Alexandros George Charalambides	04:43
design-engineering-technology	Elementary/Primary	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
design-engineering-technology	Elementary/Primary	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
design-engineering-technology	Elementary/Primary	How to take a great picture	Carolina Molinari	02:58
design-engineering-technology	Elementary/Primary	Animation basics: The optical illusion of motion	TED-Ed	05:12
design-engineering-technology	Elementary/Primary	Inside your computer	Bettina Bair	04:12
design-engineering-technology	Elementary/Primary	Animation basics: Homemade special effects	TED-Ed	04:19
design-engineering-technology	Elementary/Primary	The beginning of the universe, for beginners	Tom Whyntie	03:42
design-engineering-technology	Elementary/Primary	A call to invention: DIY speaker edition	William Gurstelle	06:49
design-engineering-technology	Elementary/Primary	How farming planted seeds for the Internet	Patricia Russac	03:59
design-engineering-technology	Elementary/Primary	Illuminating photography: From camera obscura to camera phone	Eva Timothy	04:50
design-engineering-technology	Elementary/Primary	How Curiosity got us to Mars	Bobak Ferdowsi	06:15
design-engineering-technology	Elementary/Primary	Make robots smarter	Ayanna Howard	06:18
design-engineering-technology	Elementary/Primary	How did trains standardize time in the United States?	William Heuisler	03:35
design-engineering-technology	Elementary/Primary	Inside a cartoonist’s world	Liza Donnelly	04:23
design-engineering-technology	Elementary/Primary	Sending a sundial to Mars	Bill Nye	07:50
design-engineering-technology	Elementary/Primary	The history of keeping time	Karen Mensing	03:48
design-engineering-technology	Elementary/Primary	How many lightbulbs?	06:16
design-engineering-technology	Elementary/Primary	What is nano?	03:26
design-engineering-technology	Elementary/Primary	The cockroach beatbox	Greg Gage	06:16
design-engineering-technology	Middle School/Lower Secondary	Are spotty fruits and vegetables safe to eat?	Elizabeth Brauer	04:09
design-engineering-technology	Middle School/Lower Secondary	This Video Will Make You Angry	07:26
design-engineering-technology	Middle School/Lower Secondary	How coffee got quicker | Moments of Vision 2	Jessica Oreck	01:48
design-engineering-technology	Middle School/Lower Secondary	Should we be looking for life elsewhere in the universe?	Aomawa Shields	04:36
design-engineering-technology	Middle School/Lower Secondary	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
design-engineering-technology	Middle School/Lower Secondary	Rosalind Franklin: DNA's unsung hero	Cláudio L. Guerra	04:10
design-engineering-technology	Middle School/Lower Secondary	5 of the Worst Computer Viruses Ever	09:37
design-engineering-technology	Middle School/Lower Secondary	Carl Sagan on the Existence of Extraterrestrials	06:25
design-engineering-technology	Middle School/Lower Secondary	How to fly around the world without fuel	04:13
design-engineering-technology	Middle School/Lower Secondary	It's not you. Claw machines are rigged.	03:51
design-engineering-technology	Middle School/Lower Secondary	The evolution of the book	Julie Dreyfuss	04:18
design-engineering-technology	Middle School/Lower Secondary	How transistors work	Gokul J. Krishnan	04:54
design-engineering-technology	Middle School/Lower Secondary	How computer memory works	Kanawat Senanan	05:05
design-engineering-technology	Middle School/Lower Secondary	The World's Roundest Object (and Why it Exists)	11:44
design-engineering-technology	Middle School/Lower Secondary	What is metallic glass?	Ashwini Bharathula	04:34
design-engineering-technology	Middle School/Lower Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
design-engineering-technology	Middle School/Lower Secondary	How do solar panels work?	Richard Komp	04:59
design-engineering-technology	Middle School/Lower Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
design-engineering-technology	Middle School/Lower Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
design-engineering-technology	Middle School/Lower Secondary	How a few scientists transformed the way we think about disease	Tien Nguyen	04:40
design-engineering-technology	Middle School/Lower Secondary	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
design-engineering-technology	Middle School/Lower Secondary	The treadmill's dark and twisted past	Conor Heffernan	04:10
design-engineering-technology	Middle School/Lower Secondary	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
design-engineering-technology	Middle School/Lower Secondary	Can you solve the bridge riddle?	Alex Gendler	03:50
design-engineering-technology	Middle School/Lower Secondary	The physics of playing guitar	Oscar Fernando Perez	04:55
design-engineering-technology	Middle School/Lower Secondary	The benefits of good posture	Murat Dalkilinç	04:27
design-engineering-technology	Middle School/Lower Secondary	Solid, liquid, gas and … plasma?	Michael Murillo	03:52
design-engineering-technology	Middle School/Lower Secondary	How to detect a supernova	Samantha Kuula	04:42
design-engineering-technology	Middle School/Lower Secondary	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
design-engineering-technology	Middle School/Lower Secondary	How batteries work	Adam Jacobson	04:20
design-engineering-technology	Middle School/Lower Secondary	The complex geometry of Islamic design	Eric Broug	05:07
design-engineering-technology	Middle School/Lower Secondary	How to spot a counterfeit bill	Tien Nguyen	04:06
design-engineering-technology	Middle School/Lower Secondary	What's the difference between accuracy and precision?	Matt Anticole	04:53
design-engineering-technology	Middle School/Lower Secondary	How brass instruments work	Al Cannon	04:12
design-engineering-technology	Middle School/Lower Secondary	Eye vs. camera	Michael Mauser	04:57
design-engineering-technology	Middle School/Lower Secondary	Can robots be creative?	Gil Weinberg	05:27
design-engineering-technology	Middle School/Lower Secondary	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
design-engineering-technology	Middle School/Lower Secondary	The sonic boom problem	Katerina Kaouri	05:44
design-engineering-technology	Middle School/Lower Secondary	Why are some people left-handed?	Daniel M. Abrams	05:07
design-engineering-technology	Middle School/Lower Secondary	How does your smartphone know your location?	Wilton L. Virgo	05:03
design-engineering-technology	Middle School/Lower Secondary	The evolution of the human eye	Joshua Harvey	04:44
design-engineering-technology	Middle School/Lower Secondary	How to create cleaner coal	Emma Bryce	05:54
design-engineering-technology	Middle School/Lower Secondary	The history of tattoos	Addison Anderson	05:17
design-engineering-technology	Middle School/Lower Secondary	Making a TED-Ed Lesson: Bringing a pop-up book to life	06:13
design-engineering-technology	Middle School/Lower Secondary	Corruption, wealth and beauty: The history of the Venetian gondola	Laura Morelli	04:51
design-engineering-technology	Middle School/Lower Secondary	The history of the barometer (and how it works)	Asaf Bar-Yosef	04:46
design-engineering-technology	Middle School/Lower Secondary	Under the hood: The chemistry of cars	Cynthia Chubbuck	04:34
design-engineering-technology	Middle School/Lower Secondary	It's a church. It's a mosque. It's Hagia Sophia.	Kelly Wall	05:12
design-engineering-technology	Middle School/Lower Secondary	A guide to the energy of the Earth	Joshua M. Sneideman	04:44
design-engineering-technology	Middle School/Lower Secondary	Why aren't we only using solar power?	Alexandros George Charalambides	04:43
design-engineering-technology	Middle School/Lower Secondary	Less stuff, more happiness	Graham Hill	05:50
design-engineering-technology	Middle School/Lower Secondary	What is the World Wide Web?	Twila Camp	03:55
design-engineering-technology	Middle School/Lower Secondary	Making a car for blind drivers	Dennis Hong	09:09
design-engineering-technology	Middle School/Lower Secondary	Building a museum of museums on the web	Amit Sood	05:36
design-engineering-technology	Middle School/Lower Secondary	Fellows in the field: Skylar Tibbits	02:40
design-engineering-technology	Middle School/Lower Secondary	Making a TED-Ed Lesson: Visualizing complex ideas	05:04
design-engineering-technology	Middle School/Lower Secondary	A brief history of video games (Part I)	Safwat Saleem	04:46
design-engineering-technology	Middle School/Lower Secondary	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
design-engineering-technology	Middle School/Lower Secondary	How to take a great picture	Carolina Molinari	02:58
design-engineering-technology	Middle School/Lower Secondary	Animation basics: The optical illusion of motion	TED-Ed	05:12
design-engineering-technology	Middle School/Lower Secondary	Inside your computer	Bettina Bair	04:12
design-engineering-technology	Middle School/Lower Secondary	Image recognition that triggers augmented reality	Matt Mills	08:05
design-engineering-technology	Middle School/Lower Secondary	The rise of human-computer cooperation	Shyam Sankar	12:13
design-engineering-technology	Middle School/Lower Secondary	A cinematic journey through visual effects	Don Levy	06:55
design-engineering-technology	Middle School/Lower Secondary	Animation basics: Homemade special effects	TED-Ed	04:19
design-engineering-technology	Middle School/Lower Secondary	Biofuels and bioprospecting for beginners	Craig A. Kohn	03:53
design-engineering-technology	Middle School/Lower Secondary	How much does a video weigh?	Michael Stevens of VSauce	07:21
design-engineering-technology	Middle School/Lower Secondary	How does an atom-smashing particle accelerator work?	Don Lincoln	03:36
design-engineering-technology	Middle School/Lower Secondary	What cameras see that our eyes don’t	Bill Shribman	03:20
design-engineering-technology	Middle School/Lower Secondary	The beginning of the universe, for beginners	Tom Whyntie	03:42
design-engineering-technology	Middle School/Lower Secondary	Self-assembly: The power of organizing the unorganized	Skylar Tibbits	03:42
